学号,科目,成绩
20230201,线性代数,68
20230202,数据库原理,44
20230202,线性代数,74
20230202,数据结构,32
20230202,概率统计,100
20230202,操作系统,99
20230202,计算机网络,76
20230203,操作系统,59
20230203,线性代数,89
20230203,概率统计,100
20230203,高等数学,69
20230203,计算机网络,67
20230203,数据结构,58
20230203,数据库原理,92
20230204,线性代数,86
20230204,操作系统,94
20230204,数据结构,87
20230204,概率统计,92
20230204,计算机网络,79
20230204,高等数学,97
20230205,操作系统,48
20230205,高等数学,68
20230205,概率统计,74
20230205,数据结构,66
20230205,线性代数,74
20230205,数据库原理,66
20230205,计算机网络,58
20230206,数据结构,75
20230206,操作系统,100
20230206,数据库原理,81
20230206,概率统计,62
20230206,计算机网络,60
20230207,数据结构,72
20230207,概率统计,86
20230207,线性代数,81
20230207,高等数学,88
20230207,操作系统,69
20230208,数据结构,59
20230208,线性代数,55
20230208,高等数学,67
20230208,数据库原理,89
20230208,概率统计,95
20230209,线性代数,75
20230209,数据库原理,84
20230209,数据结构,76
20230209,计算机网络,66
20230209,操作系统,82
20230209,高等数学,100
20230210,线性代数,85
20230210,高等数学,56
20230210,数据库原理,60
20230210,操作系统,79
20230210,计算机网络,46
20230210,数据结构,52
20230210,概率统计,65
20230211,线性代数,74
20230211,计算机网络,85
20230211,高等数学,71
20230211,数据库原理,74
20230211,操作系统,68
20230211,概率统计,47
20230212,计算机网络,86
20230212,数据结构,99
20230212,高等数学,66
20230212,操作系统,77
20230212,线性代数,77
20230212,概率统计,73
20230212,数据库原理,73
20230213,计算机网络,100
20230213,数据库原理,97
20230213,操作系统,90
20230213,线性代数,79
20230213,概率统计,71
20230214,操作系统,82
20230214,概率统计,74
20230214,线性代数,100
20230214,数据库原理,72
20230214,数据结构,60
20230214,高等数学,61
20230214,计算机网络,59
20230215,线性代数,60
20230215,数据结构,66
20230215,操作系统,59
20230215,计算机网络,57
20230215,概率统计,70
20230215,数据库原理,86
20230216,数据库原理,76
20230216,概率统计,71
20230216,线性代数,84
20230216,计算机网络,100
20230216,数据结构,100
20230216,高等数学,87
20230217,线性代数,73
20230217,数据库原理,44
20230217,计算机网络,72
20230217,数据结构,58
20230217,高等数学,89
20230218,数据结构,84
20230218,线性代数,52
20230218,操作系统,68
20230218,高等数学,79
20230218,概率统计,73
20230219,数据库原理,100
20230219,计算机网络,82
20230219,操作系统,85
20230219,数据结构,95
20230219,高等数学,81
20230219,线性代数,47
20230220,数据结构,75
20230220,概率统计,100
20230220,线性代数,90
20230220,数据库原理,53
20230220,操作系统,89
20230220,计算机网络,96
20230221,计算机网络,67
20230221,线性代数,62
20230221,数据库原理,90
20230221,数据结构,89
20230221,概率统计,82
20230222,线性代数,89
20230222,数据结构,81
20230222,高等数学,62
20230222,操作系统,76
20230222,数据库原理,63
20230222,计算机网络,83
20230222,概率统计,86
20230223,线性代数,68
20230223,高等数学,100
20230223,数据结构,63
20230223,概率统计,34
20230223,数据库原理,76
20230223,操作系统,55
20230224,数据结构,82
20230224,计算机网络,74
20230224,线性代数,63
20230224,高等数学,57
20230224,操作系统,94
20230225,操作系统,82
20230225,数据库原理,72
20230225,概率统计,89
20230225,高等数学,100
20230225,线性代数,76
20230225,计算机网络,38
20230226,高等数学,70
20230226,数据结构,100
20230226,线性代数,77
20230226,操作系统,58
20230226,概率统计,57
20230227,计算机网络,88
20230227,高等数学,74
20230227,数据库原理,66
20230227,数据结构,81
20230227,线性代数,68
20230227,概率统计,66
20230227,操作系统,77
20230228,线性代数,78
20230228,计算机网络,81
20230228,高等数学,82
20230228,数据结构,69
20230228,概率统计,85
20230228,操作系统,84
20230228,数据库原理,39
20230229,高等数学,79
20230229,概率统计,75
20230229,计算机网络,72
20230229,线性代数,57
20230229,数据库原理,62
20230229,操作系统,78
20230230,数据库原理,66
20230230,计算机网络,75
20230230,数据结构,100
20230230,高等数学,71
20230230,操作系统,100
20230231,数据结构,73
20230231,数据库原理,63
20230231,计算机网络,68
20230231,高等数学,75
20230231,线性代数,66
20230231,概率统计,73
20230232,线性代数,82
20230232,数据库原理,64
20230232,高等数学,95
20230232,计算机网络,68
20230232,操作系统,60
20230232,数据结构,100
20230232,概率统计,80
20230233,概率统计,59
20230233,数据结构,93
20230233,数据库原理,80
20230233,操作系统,87
20230233,高等数学,73
20230233,线性代数,88
20230234,高等数学,85
20230234,计算机网络,77
20230234,数据库原理,63
20230234,线性代数,72
20230234,数据结构,61
20230234,操作系统,77
20230234,概率统计,73
20230235,数据结构,57
20230235,计算机网络,56
20230235,操作系统,93
20230235,线性代数,75
20230235,概率统计,65
20230236,线性代数,59
20230236,概率统计,73
20230236,计算机网络,59
20230236,数据库原理,81
20230236,操作系统,92
20230236,高等数学,93
20230237,计算机网络,55
20230237,概率统计,64
20230237,数据库原理,90
20230237,数据结构,53
20230237,操作系统,95
20230237,高等数学,79
20230238,线性代数,78
20230238,计算机网络,64
20230238,高等数学,94
20230238,数据结构,54
20230238,操作系统,85
20230239,高等数学,75
20230239,数据结构,74
20230239,数据库原理,52
20230239,计算机网络,72
20230239,操作系统,72
20230239,概率统计,85
20230240,线性代数,40
20230240,概率统计,77
20230240,数据库原理,91
20230240,计算机网络,82
20230240,高等数学,97
20230240,操作系统,61
20230241,概率统计,73
20230241,操作系统,76
20230241,计算机网络,79
20230241,数据结构,74
20230241,数据库原理,83
20230241,线性代数,83
20230242,线性代数,77
20230242,数据结构,53
20230242,高等数学,68
20230242,数据库原理,70
20230242,概率统计,78
20230243,计算机网络,59
20230243,操作系统,61
20230243,高等数学,91
20230243,概率统计,70
20230243,数据结构,59
20230244,数据结构,94
20230244,数据库原理,76
20230244,高等数学,89
20230244,线性代数,86
20230244,操作系统,53
20230244,概率统计,90
20230245,数据结构,64
20230245,数据库原理,64
20230245,概率统计,78
20230245,高等数学,80
20230245,操作系统,70
20230246,操作系统,72
20230246,概率统计,81
20230246,数据结构,78
20230246,高等数学,87
20230246,计算机网络,52
20230247,线性代数,60
20230247,数据结构,71
20230247,高等数学,71
20230247,数据库原理,56
20230247,概率统计,98
20230248,数据库原理,82
20230248,高等数学,56
20230248,操作系统,76
20230248,计算机网络,92
20230248,概率统计,74
20230248,数据结构,51
20230249,操作系统,74
20230249,计算机网络,67
20230249,概率统计,81
20230249,数据库原理,61
20230249,高等数学,85
20230249,数据结构,85
20230250,操作系统,74
20230250,计算机网络,80
20230250,线性代数,70
20230250,概率统计,85
20230250,高等数学,70
20230250,数据库原理,46
20230251,线性代数,84
20230251,概率统计,38
20230251,高等数学,52
20230251,计算机网络,68
20230251,数据结构,39
20230251,数据库原理,87
20230252,数据结构,68
20230252,数据库原理,79
20230252,概率统计,74
20230252,操作系统,68
20230252,线性代数,80
20230252,高等数学,61
20230253,操作系统,99
20230253,数据库原理,87
20230253,高等数学,56
20230253,计算机网络,100
20230253,数据结构,74
20230254,数据结构,83
20230254,线性代数,80
20230254,操作系统,97
20230254,计算机网络,66
20230254,数据库原理,86
20230255,概率统计,71
20230255,数据结构,59
20230255,高等数学,73
20230255,线性代数,80
20230255,数据库原理,65
20230255,操作系统,82
20230256,高等数学,86
20230256,概率统计,64
20230256,数据库原理,86
20230256,线性代数,66
20230256,操作系统,53
20230256,计算机网络,60
20230256,数据结构,65
20230257,高等数学,85
20230257,数据库原理,59
20230257,线性代数,73
20230257,概率统计,62
20230257,操作系统,51
20230257,数据结构,92
20230258,线性代数,62
20230258,操作系统,71
20230258,数据结构,67
20230258,高等数学,56
20230258,概率统计,70
20230258,数据库原理,62
20230258,计算机网络,64
20230259,计算机网络,66
20230259,概率统计,100
20230259,数据库原理,99
20230259,高等数学,60
20230259,线性代数,74
20230260,数据库原理,68
20230260,线性代数,62
20230260,高等数学,58
20230260,数据结构,84
20230260,计算机网络,56
20230261,操作系统,100
20230261,数据结构,79
20230261,数据库原理,93
20230261,线性代数,89
20230261,高等数学,75
20230262,概率统计,85
20230262,计算机网络,74
20230262,数据库原理,62
20230262,数据结构,85
20230262,操作系统,79
20230262,线性代数,74
20230262,高等数学,100
20230263,概率统计,96
20230263,线性代数,65
20230263,数据结构,54
20230263,计算机网络,68
20230263,高等数学,79
20230263,操作系统,75
20230264,概率统计,51
20230264,操作系统,82
20230264,数据结构,77
20230264,数据库原理,79
20230264,计算机网络,71
20230264,线性代数,60
20230265,线性代数,67
20230265,数据库原理,47
20230265,概率统计,90
20230265,操作系统,70
20230265,高等数学,93
20230266,数据库原理,72
20230266,操作系统,56
20230266,高等数学,64
20230266,数据结构,99
20230266,概率统计,95
20230266,计算机网络,48
20230267,线性代数,100
20230267,数据库原理,70
20230267,操作系统,73
20230267,高等数学,87
20230267,计算机网络,78
20230267,概率统计,69
20230267,数据结构,71
20230268,操作系统,94
20230268,数据库原理,81
20230268,概率统计,51
20230268,线性代数,100
20230268,数据结构,81
20230268,计算机网络,92
20230269,概率统计,100
20230269,操作系统,77
20230269,计算机网络,78
20230269,高等数学,82
20230269,数据结构,97
20230269,数据库原理,77
20230269,线性代数,61
20230270,数据结构,49
20230270,高等数学,61
20230270,操作系统,65
20230270,概率统计,82
20230270,计算机网络,100
20230270,线性代数,77
20230270,数据库原理,69
20230271,操作系统,91
20230271,高等数学,43
20230271,计算机网络,84
20230271,线性代数,78
20230271,概率统计,71
20230271,数据结构,75
20230271,数据库原理,93
20230272,高等数学,78
20230272,数据结构,91
20230272,操作系统,64
20230272,线性代数,71
20230272,计算机网络,74
20230273,线性代数,92
20230273,概率统计,78
20230273,计算机网络,51
20230273,操作系统,79
20230273,数据结构,71
20230273,数据库原理,68
20230273,高等数学,48
20230274,操作系统,80
20230274,数据结构,83
20230274,高等数学,40
20230274,线性代数,92
20230274,计算机网络,87
20230274,数据库原理,65
20230275,操作系统,84
20230275,数据库原理,95
20230275,计算机网络,68
20230275,数据结构,90
20230275,高等数学,97
20230275,线性代数,75
20230276,计算机网络,77
20230276,数据结构,60
20230276,高等数学,73
20230276,概率统计,69
20230276,操作系统,100
20230276,线性代数,66
20230277,操作系统,69
20230277,计算机网络,74
20230277,概率统计,99
20230277,数据库原理,93
20230277,高等数学,57
20230277,线性代数,78
20230278,计算机网络,60
20230278,数据库原理,61
20230278,概率统计,91
20230278,线性代数,77
20230278,数据结构,94
20230278,操作系统,78
20230278,高等数学,80
20230279,计算机网络,100
20230279,概率统计,92
20230279,数据结构,90
20230279,线性代数,78
20230279,操作系统,46
20230279,数据库原理,88
20230280,线性代数,62
20230280,高等数学,62
20230280,计算机网络,75
20230280,操作系统,70
20230280,数据结构,72
20230280,概率统计,88
20230280,数据库原理,64
20230281,高等数学,100
20230281,概率统计,68
20230281,数据结构,81
20230281,操作系统,85
20230281,数据库原理,79
20230281,线性代数,100
20230282,数据结构,99
20230282,数据库原理,66
20230282,操作系统,93
20230282,线性代数,100
20230282,计算机网络,77
20230282,高等数学,64
20230283,计算机网络,79
20230283,概率统计,70
20230283,线性代数,53
20230283,操作系统,87
20230283,数据库原理,56
20230284,计算机网络,71
20230284,线性代数,70
20230284,数据库原理,67
20230284,高等数学,100
20230284,数据结构,67
20230285,数据库原理,95
20230285,高等数学,86
20230285,线性代数,75
20230285,数据结构,69
20230285,概率统计,78
20230286,数据结构,66
20230286,高等数学,61
20230286,数据库原理,74
20230286,概率统计,64
20230286,线性代数,61
20230287,操作系统,72
20230287,概率统计,58
20230287,高等数学,52
20230287,线性代数,74
20230287,数据结构,71
20230287,计算机网络,76
20230288,数据结构,94
20230288,高等数学,42
20230288,概率统计,85
20230288,线性代数,75
20230288,计算机网络,68
20230289,线性代数,94
20230289,操作系统,95
20230289,数据库原理,100
20230289,计算机网络,58
20230289,数据结构,86
20230289,高等数学,58
20230289,概率统计,55
20230290,计算机网络,70
20230290,数据库原理,48
20230290,高等数学,81
20230290,线性代数,60
20230290,数据结构,59
20230290,操作系统,88
20230290,概率统计,58
20230291,线性代数,78
20230291,操作系统,49
20230291,数据结构,96
20230291,高等数学,48
20230291,数据库原理,61
20230291,计算机网络,78
20230291,概率统计,73
20230292,计算机网络,76
20230292,概率统计,67
20230292,数据结构,65
20230292,数据库原理,57
20230292,高等数学,70
20230292,操作系统,67
20230292,线性代数,60
20230293,高等数学,75
20230293,计算机网络,75
20230293,操作系统,74
20230293,概率统计,72
20230293,数据库原理,83
20230293,线性代数,88
20230293,数据结构,71
20230294,概率统计,60
20230294,高等数学,66
20230294,计算机网络,61
20230294,线性代数,89
20230294,操作系统,59
20230295,数据结构,79
20230295,计算机网络,72
20230295,操作系统,76
20230295,高等数学,79
20230295,数据库原理,65
20230295,概率统计,79
20230295,线性代数,81
20230296,概率统计,85
20230296,操作系统,63
20230296,高等数学,55
20230296,数据结构,71
20230296,线性代数,71
20230296,计算机网络,80
20230297,操作系统,52
20230297,概率统计,56
20230297,数据库原理,52
20230297,计算机网络,71
20230297,线性代数,100
20230297,数据结构,65
20230298,高等数学,87
20230298,计算机网络,68
20230298,数据结构,85
20230298,数据库原理,76
20230298,概率统计,85
20230299,线性代数,74
20230299,数据库原理,77
20230299,高等数学,62
20230299,计算机网络,69
20230299,数据结构,88
20230299,操作系统,73
20230299,概率统计,100
20230300,计算机网络,77
20230300,高等数学,80
20230300,线性代数,71
20230300,概率统计,52
20230300,数据结构,79
20230300,操作系统,80
20230300,数据库原理,75
20230301,线性代数,88
20230301,数据库原理,84
20230301,操作系统,74
20230301,计算机网络,45
20230301,高等数学,69
20230302,概率统计,82
20230302,操作系统,79
20230302,高等数学,89
20230302,数据结构,85
20230302,线性代数,73
20230303,计算机网络,54
20230303,数据结构,88
20230303,高等数学,68
20230303,线性代数,66
20230303,操作系统,64
20230303,数据库原理,70
20230304,计算机网络,93
20230304,高等数学,77
20230304,操作系统,79
20230304,概率统计,75
20230304,数据结构,83
20230304,线性代数,62
20230305,概率统计,82
20230305,计算机网络,93
20230305,操作系统,86
20230305,数据库原理,61
20230305,高等数学,52
20230306,数据库原理,77
20230306,概率统计,75
20230306,操作系统,61
20230306,线性代数,64
20230306,数据结构,90
20230306,高等数学,85
20230307,线性代数,63
20230307,操作系统,95
20230307,数据库原理,76
20230307,概率统计,74
20230307,数据结构,86
20230307,高等数学,54
20230308,线性代数,89
20230308,数据库原理,85
20230308,操作系统,85
20230308,计算机网络,100
20230308,高等数学,81
20230309,高等数学,95
20230309,概率统计,86
20230309,计算机网络,79
20230309,操作系统,100
20230309,数据库原理,82
20230309,数据结构,74
20230309,线性代数,71
20230310,数据库原理,100
20230310,计算机网络,100
20230310,线性代数,72
20230310,操作系统,85
20230310,高等数学,80
20230310,概率统计,97
20230311,计算机网络,69
20230311,线性代数,83
20230311,数据结构,83
20230311,高等数学,82
20230311,操作系统,54
20230312,计算机网络,64
20230312,数据结构,78
20230312,操作系统,98
20230312,线性代数,61
20230312,高等数学,77
20230312,概率统计,89
20230313,操作系统,88
20230313,高等数学,90
20230313,概率统计,67
20230313,线性代数,76
20230313,计算机网络,83
20230313,数据库原理,72
20230313,数据结构,84
20230314,线性代数,73
20230314,数据库原理,68
20230314,高等数学,70
20230314,概率统计,81
20230314,操作系统,72
20230315,数据结构,52
20230315,操作系统,60
20230315,概率统计,54
20230315,高等数学,74
20230315,数据库原理,67
20230315,计算机网络,77
20230315,线性代数,86
20230316,高等数学,78
20230316,计算机网络,61
20230316,操作系统,78
20230316,数据库原理,75
20230316,概率统计,90
20230316,线性代数,67
20230316,数据结构,65
20230317,数据库原理,82
20230317,操作系统,94
20230317,数据结构,75
20230317,计算机网络,73
20230317,概率统计,66
20230317,高等数学,73
20230318,操作系统,75
20230318,计算机网络,63
20230318,线性代数,54
20230318,概率统计,70
20230318,数据结构,60
20230319,计算机网络,89
20230319,操作系统,82
20230319,高等数学,86
20230319,数据结构,73
20230319,数据库原理,69
20230319,线性代数,81
20230320,线性代数,64
20230320,操作系统,83
20230320,计算机网络,53
20230320,高等数学,86
20230320,数据结构,74
20230320,数据库原理,87
20230320,概率统计,59
20230321,高等数学,68
20230321,概率统计,70
20230321,数据结构,76
20230321,操作系统,58
20230321,计算机网络,38
20230321,线性代数,69
20230321,数据库原理,55
20230322,概率统计,81
20230322,计算机网络,69
20230322,高等数学,65
20230322,线性代数,50
20230322,操作系统,80
20230322,数据结构,90
20230322,数据库原理,74
20230323,数据库原理,74
20230323,概率统计,64
20230323,高等数学,76
20230323,操作系统,77
20230323,线性代数,76
20230323,计算机网络,86
20230324,概率统计,83
20230324,高等数学,66
20230324,操作系统,85
20230324,数据结构,77
20230324,线性代数,100
20230324,数据库原理,70
20230325,数据结构,84
20230325,操作系统,57
20230325,计算机网络,92
20230325,高等数学,63
20230325,概率统计,73
20230325,线性代数,86
20230325,数据库原理,76
20230326,概率统计,63
20230326,计算机网络,70
20230326,数据结构,66
20230326,操作系统,82
20230326,线性代数,94
20230326,数据库原理,88
20230326,高等数学,99
20230327,线性代数,50
20230327,计算机网络,61
20230327,操作系统,70
20230327,数据库原理,64
20230327,数据结构,74
20230327,概率统计,79
20230327,高等数学,85
20230328,数据结构,94
20230328,概率统计,93
20230328,线性代数,59
20230328,计算机网络,59
20230328,数据库原理,75
20230328,高等数学,69
20230328,操作系统,76
20230329,数据库原理,69
20230329,操作系统,44
20230329,线性代数,58
20230329,数据结构,100
20230329,计算机网络,86
20230329,高等数学,63
20230330,数据库原理,84
20230330,线性代数,98
20230330,数据结构,84
20230330,计算机网络,93
20230330,操作系统,83
20230331,操作系统,73
20230331,计算机网络,70
20230331,高等数学,100
20230331,线性代数,75
20230331,数据库原理,66
20230332,概率统计,88
20230332,操作系统,87
20230332,线性代数,51
20230332,高等数学,94
20230332,计算机网络,84
20230333,概率统计,86
20230333,操作系统,72
20230333,线性代数,69
20230333,数据结构,86
20230333,计算机网络,70
20230334,计算机网络,50
20230334,数据库原理,56
20230334,操作系统,79
20230334,概率统计,81
20230334,线性代数,85
20230334,高等数学,63
20230334,数据结构,94
20230335,计算机网络,77
20230335,高等数学,97
20230335,数据库原理,48
20230335,操作系统,49
20230335,数据结构,90
20230335,线性代数,89
20230335,概率统计,81
20230336,计算机网络,56
20230336,操作系统,98
20230336,线性代数,91
20230336,数据库原理,91
20230336,高等数学,81
20230337,线性代数,68
20230337,计算机网络,75
20230337,数据结构,88
20230337,高等数学,86
20230337,操作系统,69
20230337,概率统计,49
20230337,数据库原理,67
20230338,概率统计,100
20230338,数据库原理,59
20230338,线性代数,93
20230338,计算机网络,81
20230338,操作系统,76
20230338,高等数学,80
20230338,数据结构,85
20230339,高等数学,78
20230339,计算机网络,82
20230339,数据结构,77
20230339,数据库原理,67
20230339,线性代数,42
20230340,概率统计,50
20230340,计算机网络,35
20230340,线性代数,92
20230340,操作系统,100
20230340,数据库原理,92
20230341,计算机网络,96
20230341,高等数学,89
20230341,数据结构,72
20230341,线性代数,83
20230341,数据库原理,64
20230341,概率统计,81
20230341,操作系统,72
20230342,数据结构,78
20230342,线性代数,80
20230342,数据库原理,100
20230342,概率统计,78
20230342,计算机网络,69
20230342,高等数学,88
20230342,操作系统,88
20230343,计算机网络,70
20230343,操作系统,89
20230343,数据库原理,65
20230343,数据结构,83
20230343,线性代数,74
20230343,概率统计,85
20230343,高等数学,77
20230344,计算机网络,100
20230344,操作系统,53
20230344,数据库原理,66
20230344,线性代数,59
20230344,高等数学,86
20230345,线性代数,86
20230345,计算机网络,78
20230345,概率统计,64
20230345,数据结构,88
20230345,高等数学,46
20230345,操作系统,76
20230345,数据库原理,88
20230346,数据结构,95
20230346,线性代数,100
20230346,计算机网络,91
20230346,操作系统,91
20230346,数据库原理,85
20230347,数据库原理,61
20230347,高等数学,100
20230347,线性代数,62
20230347,计算机网络,81
20230347,概率统计,48
20230347,数据结构,58
20230347,操作系统,97
20230348,数据结构,94
20230348,高等数学,68
20230348,操作系统,75
20230348,线性代数,61
20230348,数据库原理,74
20230349,计算机网络,94
20230349,操作系统,80
20230349,概率统计,82
20230349,高等数学,100
20230349,数据结构,100
20230349,数据库原理,77
20230350,数据结构,68
20230350,概率统计,73
20230350,高等数学,100
20230350,数据库原理,94
20230350,计算机网络,65
20230350,操作系统,75
20230351,数据库原理,71
20230351,线性代数,68
20230351,计算机网络,80
20230351,操作系统,72
20230351,高等数学,72
20230351,概率统计,77
20230351,数据结构,50
20230352,概率统计,82
20230352,操作系统,93
20230352,数据结构,89
20230352,高等数学,59
20230352,线性代数,67
20230353,计算机网络,85
20230353,数据结构,82
20230353,高等数学,58
20230353,数据库原理,63
20230353,操作系统,63
20230354,概率统计,52
20230354,数据结构,76
20230354,高等数学,59
20230354,计算机网络,51
20230354,线性代数,64
20230354,操作系统,55
20230354,数据库原理,83
20230355,数据结构,70
20230355,操作系统,81
20230355,线性代数,67
20230355,计算机网络,64
20230355,概率统计,74
20230355,高等数学,44
20230355,数据库原理,78
20230356,操作系统,78
20230356,数据库原理,74
20230356,高等数学,93
20230356,计算机网络,54
20230356,线性代数,77
20230357,高等数学,100
20230357,线性代数,78
20230357,计算机网络,93
20230357,概率统计,93
20230357,数据结构,46
20230358,数据结构,74
20230358,概率统计,77
20230358,数据库原理,69
20230358,高等数学,79
20230358,计算机网络,48
20230358,操作系统,77
20230359,数据结构,73
20230359,计算机网络,75
20230359,线性代数,48
20230359,高等数学,69
20230359,数据库原理,77
20230359,概率统计,100
20230360,数据库原理,83
20230360,概率统计,86
20230360,操作系统,77
20230360,高等数学,87
20230360,数据结构,65
20230360,线性代数,90
20230360,计算机网络,75
20230361,概率统计,86
20230361,线性代数,71
20230361,高等数学,58
20230361,计算机网络,83
20230361,数据结构,77
20230362,计算机网络,83
20230362,线性代数,82
20230362,概率统计,74
20230362,数据结构,62
20230362,数据库原理,74
20230362,操作系统,83
20230362,高等数学,57
20230363,数据结构,65
20230363,概率统计,95
20230363,计算机网络,86
20230363,数据库原理,58
20230363,高等数学,34
20230363,线性代数,80
20230364,线性代数,86
20230364,概率统计,71
20230364,操作系统,85
20230364,计算机网络,70
20230364,数据结构,86
20230364,数据库原理,28
20230364,高等数学,68
20230365,操作系统,92
20230365,数据库原理,85
20230365,数据结构,68
20230365,计算机网络,46
20230365,高等数学,79
20230365,概率统计,90
20230365,线性代数,65
20230366,高等数学,58
20230366,操作系统,95
20230366,概率统计,53
20230366,线性代数,79
20230366,数据结构,83
20230366,计算机网络,68
20230367,操作系统,69
20230367,数据结构,80
20230367,线性代数,78
20230367,计算机网络,61
20230367,概率统计,73
20230367,数据库原理,73
20230368,概率统计,60
20230368,高等数学,97
20230368,线性代数,100
20230368,数据结构,67
20230368,数据库原理,84
20230368,计算机网络,55
20230368,操作系统,86
20230369,数据库原理,78
20230369,计算机网络,69
20230369,操作系统,57
20230369,概率统计,77
20230369,高等数学,65
20230370,线性代数,65
20230370,概率统计,67
20230370,操作系统,75
20230370,数据结构,93
20230370,计算机网络,92
20230370,数据库原理,77
20230370,高等数学,84
20230371,计算机网络,76
20230371,操作系统,73
20230371,高等数学,98
20230371,概率统计,64
20230371,数据结构,78
20230371,线性代数,44
20230372,高等数学,97
20230372,数据结构,88
20230372,计算机网络,61
20230372,概率统计,71
20230372,线性代数,88
20230372,操作系统,73
20230373,计算机网络,80
20230373,数据结构,75
20230373,数据库原理,61
20230373,操作系统,81
20230373,高等数学,74
20230374,线性代数,61
20230374,计算机网络,86
20230374,操作系统,72
20230374,概率统计,75
20230374,数据库原理,72
20230375,操作系统,89
20230375,数据结构,85
20230375,高等数学,70
20230375,概率统计,89
20230375,线性代数,77
20230375,计算机网络,58
20230376,数据库原理,71
20230376,线性代数,62
20230376,计算机网络,49
20230376,高等数学,80
20230376,数据结构,84
20230376,操作系统,68
20230377,数据库原理,89
20230377,概率统计,94
20230377,高等数学,72
20230377,数据结构,75
20230377,操作系统,86
20230377,计算机网络,85
20230377,线性代数,89
20230378,线性代数,85
20230378,数据库原理,77
20230378,计算机网络,93
20230378,数据结构,94
20230378,概率统计,75
20230379,高等数学,80
20230379,操作系统,86
20230379,线性代数,79
20230379,概率统计,75
20230379,计算机网络,63
20230379,数据结构,70
20230379,数据库原理,73
20230380,线性代数,84
20230380,数据结构,62
20230380,操作系统,59
20230380,数据库原理,61
20230380,概率统计,55
20230380,高等数学,80
20230381,数据结构,85
20230381,高等数学,92
20230381,数据库原理,89
20230381,线性代数,55
20230381,操作系统,51
20230382,线性代数,64
20230382,概率统计,80
20230382,操作系统,81
20230382,数据库原理,77
20230382,高等数学,95
20230382,数据结构,95
20230383,高等数学,96
20230383,概率统计,43
20230383,计算机网络,84
20230383,数据结构,74
20230383,线性代数,76
20230383,操作系统,76
20230384,数据结构,86
20230384,概率统计,79
20230384,操作系统,70
20230384,数据库原理,84
20230384,计算机网络,65
20230384,线性代数,82
20230385,操作系统,100
20230385,计算机网络,75
20230385,概率统计,67
20230385,数据库原理,69
20230385,线性代数,79
20230386,数据结构,82
20230386,概率统计,78
20230386,数据库原理,77
20230386,操作系统,79
20230386,高等数学,53
20230386,线性代数,60
20230387,计算机网络,82
20230387,线性代数,46
20230387,高等数学,100
20230387,数据库原理,51
20230387,数据结构,89
20230387,操作系统,60
20230388,线性代数,89
20230388,计算机网络,59
20230388,数据结构,54
20230388,高等数学,79
20230388,操作系统,72
20230388,概率统计,59
20230388,数据库原理,85
20230389,操作系统,77
20230389,高等数学,73
20230389,概率统计,82
20230389,计算机网络,79
20230389,线性代数,77
20230389,数据库原理,74
20230390,线性代数,91
20230390,计算机网络,100
20230390,数据库原理,65
20230390,操作系统,85
20230390,高等数学,85
20230390,概率统计,64
20230390,数据结构,73
20230391,线性代数,54
20230391,数据库原理,46
20230391,数据结构,87
20230391,计算机网络,60
20230391,操作系统,62
20230391,高等数学,71
20230392,概率统计,66
20230392,线性代数,45
20230392,数据库原理,68
20230392,高等数学,81
20230392,数据结构,61
20230392,计算机网络,100
20230393,线性代数,93
20230393,操作系统,68
20230393,数据库原理,80
20230393,数据结构,58
20230393,概率统计,80
20230393,高等数学,57
20230394,计算机网络,78
20230394,数据库原理,88
20230394,概率统计,84
20230394,高等数学,82
20230394,操作系统,86
20230394,数据结构,58
20230394,线性代数,88
20230395,操作系统,39
20230395,高等数学,64
20230395,计算机网络,79
20230395,数据结构,95
20230395,概率统计,42
20230395,数据库原理,93
20230395,线性代数,65
20230396,计算机网络,63
20230396,概率统计,71
20230396,数据结构,81
20230396,高等数学,73
20230396,数据库原理,59
20230397,高等数学,48
20230397,数据库原理,82
20230397,概率统计,76
20230397,计算机网络,46
20230397,操作系统,60
20230398,数据库原理,91
20230398,操作系统,67
20230398,线性代数,75
20230398,概率统计,73
20230398,高等数学,70
20230398,计算机网络,89
20230399,操作系统,65
20230399,数据结构,73
20230399,线性代数,66
20230399,概率统计,84
20230399,数据库原理,74
20230399,计算机网络,88
20230399,高等数学,91
20230400,操作系统,80
20230400,线性代数,77
20230400,计算机网络,79
20230400,数据库原理,87
20230400,高等数学,75
20230400,概率统计,86
20230401,操作系统,65
20230401,高等数学,53
20230401,概率统计,63
20230401,线性代数,59
20230401,数据结构,77
20230401,数据库原理,58
20230402,线性代数,72
20230402,数据库原理,91
20230402,数据结构,70
20230402,操作系统,62
20230402,计算机网络,75
20230402,高等数学,49
20230403,线性代数,83
20230403,高等数学,34
20230403,计算机网络,75
20230403,概率统计,57
20230403,操作系统,74
20230404,高等数学,66
20230404,数据结构,76
20230404,数据库原理,91
20230404,操作系统,66
20230404,线性代数,94
20230405,数据库原理,91
20230405,计算机网络,69
20230405,操作系统,70
20230405,高等数学,57
20230405,概率统计,76
20230406,数据结构,75
20230406,数据库原理,80
20230406,高等数学,68
20230406,操作系统,77
20230406,线性代数,54
20230406,计算机网络,100
20230406,概率统计,92
20230407,数据库原理,61
20230407,计算机网络,45
20230407,线性代数,65
20230407,高等数学,69
20230407,操作系统,74
20230407,概率统计,76
20230407,数据结构,54
20230408,概率统计,69
